date,operator,draw_no,1st,2nd,3rd,special,consolation
1985-04-25,Magnum 4D,001/85,1972,7055,8296,"0148,0622,4195,4851,5644,5680,6579,7562,7691,9288","0606,1000,2494,2672,2801,3773,6464,7355,8046,8508"
1985-04-27,Magnum 4D,002/85,7087,2427,8971,"0615,1021,1068,1664,2680,5964,6798,7055,7436,8651","0585,0647,2118,2379,2433,2855,5941,6158,8897,9382"
1985-04-28,Magnum 4D,003/85,1790,5704,7424,"1797,1805,2364,3247,3771,4493,5174,5636,7268,8201","0392,1074,2512,3171,3380,3604,4457,5297,8127,9269"
1985-05-02,Magnum 4D,004/85,5856,3626,2656,"2543,3532,4979,6584,6635,8472,8786,8528,9169,9335","1552,2916,3510,4859,5954,6086,7106,8576,8813,8982"
1985-05-04,Magnum 4D,005/85,5065,6265,4681,"0990,1098,1686,2524,3902,4453,5568,6331,9006,9566","0039,2688,4345,5243,7643,7931,8629,9086,9140,9362"
1985-05-05,Magnum 4D,006/85,7874,9396,1877,"1319,2260,2291,3048,4065,6640,8534,9240,9318,9905","0154,0971,1122,2565,3678,4238,5391,5733,6230,8896"
1985-05-09,Magnum 4D,007/85,4038,4219,0757,"0210,0315,0544,0769,1473,3580,5096,7544,9484,9911","0118,0729,0856,1194,1654,3335,4395,8040,8777,9985"
1985-05-11,Magnum 4D,008/85,7202,6627,5991,"0762,2042,3258,4834,5623,6811,7783,8641,9269,9908","0253,0685,1155,3027,3868,4986,5748,7851,8587,9609"
1985-05-12,Magnum 4D,009/85,0191,9147,0018,"0069,2799,2903,4704,4746,6363,6909,7184,9578,9882","0024,0766,0815,1060,1311,3101,6087,6929,8800,9264"
1985-05-16,Magnum 4D,010/85,6789,9218,4746,"0447,1923,3553,4199,5353,6326,7698,9259,9438,9586","0010,0944,2195,2744,4292,6837,7238,8490,9704,9832"
1985-05-18,Magnum 4D,011/85,6071,6973,3194,"1189,1286,3309,3681,3963,5092,5490,7164,8987,9810","0705,1259,2314,4184,7424,8296,8884,9295,9379,9527"
1985-05-19,Magnum 4D,012/85,2292,7463,2003,"0749,1016,1564,1589,2369,2431,2973,3622,4003,7828","0024,0493,1697,1702,2016,2586,2996,6637,8510,9996"
1985-05-23,Magnum 4D,013/85,9470,8064,2631,"0441,1426,2116,3047,3228,3484,5688,5870,5885,6868","0868,1134,1951,2992,4229,4984,6321,7006,7054,7136"
1985-05-25,Magnum 4D,014/85,5349,9935,4566,"0881,1860,2808,3261,3318,6474,6758,7034,8524,8601","2180,3429,3449,3603,5399,5430,6465,7510,8044,9154"
1985-05-26,Magnum 4D,015/85,7951,5411,9191,"1272,1628,1992,3124,3901,4167,5621,6366,7974,8081","0650,0836,1103,1664,2229,3661,5059,5425,5432,9051"
1985-05-30,Magnum 4D,016/85,4217,5267,9789,"0629,0887,1265,2211,5563,6726,8125,8537,9320,9499","1445,1571,2311,2902,4026,4512,5787,6198,8761,9455"
1985-06-01,Magnum 4D,017/85,8213,5493,6660,"0302,1030,2491,2760,3308,5514,7054,8617,8733,9139","1383,3832,4195,5323,5946,7328,8176,9007,9397,9974"
1985-06-02,Magnum 4D,018/85,0224,5365,9269,"0083,0625,0887,1135,1180,3029,4278,5176,6783,7329","0152,1357,2164,2590,4600,5631,6608,9017,9740,9782"
1985-06-06,Magnum 4D,019/85,6231,1200,9403,"0145,1368,3499,3737,3868,5415,6407,7160,7322,7476","1003,1028,1434,2678,2740,3395,4295,5645,8119,8995"
1985-06-08,Magnum 4D,020/85,7245,7007,6115,"0136,1224,2455,4531,5324,5682,7134,7506,8637,9322","0047,1570,2301,4875,5185,5240,6797,8293,8425,9087"
1985-06-09,Magnum 4D,021/85,5187,9629,6249,"0290,1168,1351,3384,3783,3808,4285,4341,4939,9420","1159,2264,2373,3101,3288,4674,5931,6430,6838,9286"
1985-06-13,Magnum 4D,022/85,7089,5262,6910,"0940,1931,2516,2890,3211,4367,4645,4948,7895,9897","0911,3476,6468,6653,7164,7432,7738,7983,8816,9109"
1985-06-15,Magnum 4D,023/85,1214,5995,6731,"0910,1774,2366,2513,3236,6189,7320,9173,9238,9408","0144,0989,1144,1149,1760,4795,5690,7225,7863,8060"
